ID apteki	Nazwa	Status	Numer zezwolenia	Data wydania zezwolenia	Data cofnięcia zezwolenia	Data wygaszenia zezwolenia	Data uprawomocnienia zezwolenia	Data uprawomocnienia cofnięcia/wygaszenia zezwolenia	Data nadania rygoru natychmiastowej wykonalności dla cofnięcia zezwolenia	Sygnatura sprawy dla cofniecia/wygaszenia zezwolenia	Województwo	Powiat	Gmina	Rodzaj ulicy	Ulica	Numer Budynku	Numer Lokalu	Miejscowość	Kod pocztowy	Poczta	Simc	Terc	Ulic
1072345	ŻYWIECKA	aktywna	ŚLWIF.KA-4100-44/2010	2010-04-06			2010-04-06				śląskie	żywiecki	Żywiec	ul.	DWORCOWA	22		ŻYWIEC	34-300		927642	2417011	4434
1111311	Żywiecka	aktywna	ŚlWIF.KA.8520.1.219.2012	2013-02-16			2013-02-02				śląskie	żywiecki	Żywiec	ul.	Ks. Pr. Stanisława Słonki	24		Żywiec	34-300				
1122928	Żyj-zdrowo.com	aktywna	WIFBY-KK.8530.1.12.2012	2013-05-01			2013-02-01				kujawsko-pomorskie	bydgoski	Koronowo	ul.	Bydgoska	25		Wtelno	86-011		89388	403045	2498
1204517	Żyj-zdrowo.com	aktywna	WIFBY-KK.8530.1.2.2016	2016-04-22			2016-05-06				KUJAWSKO-POMORSKIE	świecki	Świecie (obszar wiejski w gminie miejsko-wiejskiej)	ul.	Wojska Polskiego	8		Gruczno	86-111	Gruczno	97784	414095	24628
1122834	ŻYJ - ZDROWO.COM	aktywna	FŁ-996/PA/2013	2013-12-12			2013-12-27				ŁÓDZKIE	bełchatowski	Kluki (gmina wiejska)			51		Kluki	97-415		542445	1001052	
1192421	Żyj - zdrowo.com	aktywna	WIFBY-KK.8530.1.2.2015	2015-08-18			2015-09-01				KUJAWSKO-POMORSKIE	bydgoski	Koronowo (obszar wiejski w gminie miejsko-wiejskiej)	ul.	Bydgoska	4		Mąkowarsko	86-013	Mąkowarsko	88970	403045	2498
1105043	Żurawia Tanie Leki	aktywna	WIFBY-KK.8520.1.24.2012	2012-09-07			2012-09-21				kujawsko-pomorskie	Włocławek	Włocławek (gmina miejska)	ul.	Żurawia	26		Włocławek	87-800		984752	464011	26579
1122451	ŻUŁAWSKA	aktywna	799/2013	2013-11-28			2013-11-28				POMORSKIE	gdański	Cedry Wielkie (gmina wiejska)	ul.	M. Płażyńskiego	20		Cedry Wielkie	83-020		159640	2204022	44014
1031136	Żukowska	aktywna	400/2006	2006-12-04			2006-12-04				pomorskie	kartuski	Żukowo	ul.	Pożarna	2A		Żukowo	83-330		935127	2205084	17404
1127844	ŻMIGRODZKA	aktywna	WIIF.WR.I-9211/59/Konc./230/99	1999-07-15			1999-07-15				dolnośląskie	trzebnicki	Żmigród	ul.	Lipowa	1a		Żmigród	55-140		987503	220064	11139
1128166	ŻMIGRODZKA	aktywna	WIIF.WR-I-8240/116/zezw./84/01	2001-07-31			2001-07-31				DOLNOŚLĄSKIE	Wrocław	Wrocław-Psie Pole (delegatura)	ul.	Żmigrodzka	19		Wrocław	51-118	Wrocław	986745	264049	26477
1044723	ŻEŃ-SZEŃ	aktywna	FAPO/I/9211/20-A/93	1993-12-09			1993-12-24				wielkopolskie	Poznań		ul.	NEWTONA	14		POZNAŃ	61-161				
1120377	ŻELECHOWSKA	aktywna	WIF.WA.II.8520.4.101.2013.DB	2013-10-08			2013-10-23				MAZOWIECKIE	garwoliński	Żelechów (miasto w gminie miejsko-wiejskiej)	ul.	Rynek	6		Żelechów	08-430	Żelechów	975983	1403144	19253
