ID apteki;Nazwa;Status;Numer zezwolenia;Data wydania zezwolenia;Data cofni_cia zezwolenia;Data wygaszenia zezwolenia;Data uprawomocnienia zezwolenia;Data uprawomocnienia cofni_cia/wygaszenia zezwolenia;Data nadania rygoru natychmiastowej wykonalno_ci dla cofni_cia zezwolenia;Sygnatura sprawy dla cofniecia/wygaszenia zezwolenia;Wojew—dztwo;Powiat;Gmina;Rodzaj ulicy;Ulica;Numer Budynku;Numer Lokalu;Miejscowo__;Kod pocztowy;Poczta;Simc;Terc;Ulic
1072345;_YWIECKA;aktywna;_LWIF.KA-4100-44/2010;2010-04-06;;;2010-04-06;;;;_l_skie;_ywiecki;_ywiec;ul.;DWORCOWA;22;;_YWIEC;34-300;;927642;2417011;4434
1111311;_ywiecka;aktywna;_lWIF.KA.8520.1.219.2012;2013-02-16;;;2013-02-02;;;;_l_skie;_ywiecki;_ywiec;ul.;Ks. Pr. Stanis_awa S_onki;24;;_ywiec;34-300;;;;
1122928;_yj-zdrowo.com;aktywna;WIFBY-KK.8530.1.12.2012;2013-05-01;;;2013-02-01;;;;kujawsko-pomorskie;bydgoski;Koronowo;ul.;Bydgoska;25;;Wtelno;86-011;;89388;403045;2498
1204517;_yj-zdrowo.com;aktywna;WIFBY-KK.8530.1.2.2016;2016-04-22;;;2016-05-06;;;;KUJAWSKO-POMORSKIE;_wiecki;_wiecie (obszar wiejski w gminie miejsko-wiejskiej);ul.;Wojska Polskiego;8;;Gruczno;86-111;Gruczno;97784;414095;24628
1122834;_YJ - ZDROWO.COM;aktywna;F_-996/PA/2013;2013-12-12;;;2013-12-27;;;;_îDZKIE;be_chatowski;Kluki (gmina wiejska);;;51;;Kluki;97-415;;542445;1001052;
1192421;_yj - zdrowo.com;aktywna;WIFBY-KK.8530.1.2.2015;2015-08-18;;;2015-09-01;;;;KUJAWSKO-POMORSKIE;bydgoski;Koronowo (obszar wiejski w gminie miejsko-wiejskiej);ul.;Bydgoska;4;;M_kowarsko;86-013;M_kowarsko;88970;403045;2498
1105043;_urawia Tanie Leki;aktywna;WIFBY-KK.8520.1.24.2012;2012-09-07;;;2012-09-21;;;;kujawsko-pomorskie;W_oc_awek;W_oc_awek (gmina miejska);ul.;_urawia;26;;W_oc_awek;87-800;;984752;464011;26579
1122451;_U_AWSKA;aktywna;799/2013;2013-11-28;;;2013-11-28;;;;POMORSKIE;gda_ski;Cedry Wielkie (gmina wiejska);ul.;M. P_a_y_skiego;20;;Cedry Wielkie;83-020;;159640;2204022;44014
1031136;_ukowska;aktywna;400/2006;2006-12-04;;;2006-12-04;;;;pomorskie;kartuski;_ukowo;ul.;Po_arna;2A;;_ukowo;83-330;;935127;2205084;17404
1127844;_MIGRODZKA;aktywna;WIIF.WR.I-9211/59/Konc./230/99;1999-07-15;;;1999-07-15;;;;dolno_l_skie;trzebnicki;_migr—d;ul.;Lipowa;1a;;_migr—d;55-140;;987503;220064;11139
1128166;_MIGRODZKA;aktywna;WIIF.WR-I-8240/116/zezw./84/01;2001-07-31;;;2001-07-31;;;;DOLNO_L_SKIE;Wroc_aw;Wroc_aw-Psie Pole (delegatura);ul.;_migrodzka;19;;Wroc_aw;51-118;Wroc_aw;986745;264049;26477
1044723;_E_-SZE_;aktywna;FAPO/I/9211/20-A/93;1993-12-09;;;1993-12-24;;;;wielkopolskie;Pozna_;;ul.;NEWTONA;14;;POZNA_;61-161;;;;
