"ID Księgi"|"Zakres"|"Data wystawienia"
"325100"|"Certyfikat w zakresie ISO 9001 Systemy zarzadzania jakoscia – wymagania, dotycza calego podmiotu leczniczego albo jego przedsiebiorstwa"|"2007-10-08"
"325101"|"ISO 9001:2009 świadczenie usług medycznych w zakresie ambulatoryjnej opieki specjalistycznej, lecznictwa szpitalnego - oddziały zabiegowe, diagnostyki laboratoryjnej, profilaktyczne programy zdrowotne"|"2012-04-04"
"325101"|"Certyfikat w zakresie ISO 9001 Systemy zarzadzania jakoscia – wymagania, dotycza calego podmiotu leczniczego albo jego przedsiebiorstwa"|"2016-04-04"
"325113"|"ISO 9001:2000 w zakresie : ambulatoryjna rehabilitacja medyczna, usługi odnowy biologicznej oraz zajęcia sportowe i rekreacyjne na pływalniach krytych."|"2007-02-12"
"325123"|"CERTYFIKAT ISO 9001:2008Data ważności certyfikatu: 15-02-2015Nazwa instytucji certyfikującej: Polska Izba Handlu Zagranicznego CertyfikacjaCertyfikat Nr 742/2009 w zakresie: udzielania świadczeń zdrowotnych pacjentom w warunkach stacjonarnych, domowych i ambulatoryjnych w zakresie: paliatywno-hospicyjnym, opiekuńczo-leczniczym, rehabilitacyjnym, socjalno-psychologicznym oraz leczenia onkologicznego, przeciwbólowego i zywieniowego."|"2009-02-16"
"325123"|"Certyfikat w zakresie ISO 9001 Systemy zarządzania jakością – wymagania, dotyczą całego podmiotu leczniczego albo jego przedsiębiorstwa"|"2013-02-18"
"325123"|"Certyfikat w zakresie ISO 9001 Systemy zarządzania jakością – wymagania, dotyczą całego podmiotu leczniczego albo jego przedsiębiorstwa"|"2014-03-16"
"325124"|"ISO 9001:2000Udzielanie świadczeń medycznych w zakresie: Poradni specjalistycznych, świadczeń i usług rehabilitacyjnych oraz terapeutycznych (logopegii, psychoterapii, hipoterapii, hydroterapii i muzykoterapii), świadczeń i usług stomatologicznych, protetycznych oraz ortodontycznych, zaopatrzenia w środki pomocnicze, rehabilitacyjne i ortopedyczne."|"2004-10-20"
"325124"|"ISO 9001:2008Udzielanie świadczeń medycznych w zakresie: Poradni specjalistycznych, świadczeń i usług rehabilitacyjnych oraz terapeutycznych (logopegii, psychoterapii, hipoterapii, hydroterapii i muzykoterapii), świadczeń i usług stomatologicznych, protetycznych oraz ortodontycznych, zaopatrzenia w środki pomocnicze, rehabilitacyjne i ortopedyczne."|"2010-11-04"
"325124"|"ISO 9001:2008 Udzielanie świadczeń medycznych w zakresie: Poradni specjalistycznych, świadczeń i usług rehabilitacyjnych oraz terapeutycznych (logopegii, pedagogiki, psychoterapii, hipoterapii, hydroterapii, muzykoterapii), usług stomatologicznych, protetycznych oraz ortodontycznych, zaopatrzenia w środki pomocnicze, rehabilitacyjne i ortopedyczne."|"2013-11-04"
