"ID Księgi"|"Zakres"|"Data wystawienia"
"325325"|"Chirurgia ogólna, choroby wewnętrzne, choroby zakaźne, immunologia kliniczna, neonatologia, neurologia, pediatria, psychiatria dzieci i młodzieży, radiologia i diagnostyka obrazowa."|"2012-05-22"
"325334"|"Od 2001 r. Oddział wewnętrzny - akredytacja w zakresie choroby wewnętrzne, Od 2006 r. Oddział chirurgiczny - akredytacja w zakresie chirurgia ogólna, Od 2009 r. Oddział dziecięcy - akredytacja w zakresie pediatrii."|"2001-01-01"
"325360"|"Balneologia i Medycyna Fizykalna"|"2008-08-20"
"325405"|"Anestezjologia i intensywna terapia"|"2007-03-27"
"325405"|"Chirurgia dziecięca"|"2002-12-01"
"325405"|"Chirurgia ogólna (ul. Traugutta 116)"|"2002-07-26"
"325405"|"Chirurgia ogólna (al. Wiśniowa36)"|"2010-11-03"
"325405"|"Chirurgia plastyczna"|"2011-01-18"
"325405"|"Choroby wewnętrzne ( Oddział Toksykologiczny ul. Traugutta 116)"|"2002-07-26"
"325405"|"Choroby wewnętrzne (Oddział Kardiologiczny ul. Traugutta 116)"|"2002-07-26"
"325405"|"Kardiologia"|"2002-07-26"
"325405"|"Medycyna ratunkowa"|"2004-03-29"
"325405"|"Neurologia"|"2002-08-29"
"325405"|"Nurologia dziecięca"|"2002-07-26"
"325405"|"Ortopedia i traumatologia narządu ruchu"|"2006-06-30"
"325405"|"Toksykologia kliniczna"|"2003-05-20"
"325405"|"Urologia"|"2010-11-03"
"325405"|"Ortopedia i traumatologia narządu ruchu (al. Wiśniowa 36)"|"2013-01-16"
"325405"|"Reumatologia "|"2013-01-16"
"325405"|"Endokrynologia "|"2013-01-16"
"325405"|"Choroby wewnętrzne (Oddział Chorób Wewnętrznych)"|"2013-01-16"
"325405"|"Choroby wewnętrzne (Oddział Endokrynologii, Diabetologii Chorób Wewnętrznych) "|"2013-01-16"
"325405"|"Rehabilitacja medyczna "|"2013-07-09"
"325460"|"Zakres: Staże kierunkowe z dziedziny psychiatrii dzieci i młodzieży."|"2011-02-21"
"325507"|"Chirurgia stomatologiczna"|"2012-08-20"
"325794"|"Prowadzenie stażu cząstkowego lub części stażu cząstkowego w zakresie medycyny rodzinnej."|"2012-10-22"
"325796"|"Chirurgia ogólna - Oddział Chirurgii Ogólnej"|"2003-05-20"
"325796"|"Choroby wewnętrzne - Oddział Chorób Wewnętrznych"|"2009-07-01"
"325796"|"Choroby wewnętrzne - Oddział Kardiologiczny z Pododdzaiłem Intensywnego Nadzoru Kardiologicznego"|"2003-02-14"
"325796"|"Kardiologia - Oddział Kardiologiczny z Pododdzaiłem Intensywnego Nadzoru Kardiologicznego"|"2010-06-30"
"325796"|"Choroby wewnętrzne - Oddział Gastroenterologiczny"|"2009-07-01"
"325796"|"Gastroenterologia - Oddział Gastroenterologiczny"|"2009-07-01"
"325796"|"Okulistyka - Oddział Okulistyczny z Pododdziałem Okulistycznym Dziecięcym"|"2003-02-24"
"325796"|"Neurologia  - Oddział Neurologiczny z Poddodziałem Udarowym"|"2008-02-01"
"325796"|"Pediatria - Oddział Dziecięcy z Pododdziałem Intensywnej Terapii Dziecięcej"|"2009-01-16"
"325796"|"Ortopedia i traumatologia narządu ruchu - Oddział Chirurgii Urazowo-Ortopedycznej"|"2009-11-05"
"325796"|"Położnoctwo i ginekologia - Oddział Ginekologiczno-Położniczy z Pododdziałem Patologii Ciąży"|"2009-07-01"
"325796"|"Neonatologia - Oddział Fizjologii i Patologii Noworodka"|"2010-08-17"
"325796"|"Anestezjologia i intensywna terapia - Oddział Anestezjologii i Intensywnej Terapii"|"2010-06-30"
"325796"|"Reumatologia  - Oddzaił Reumatologiczny z Pododdziałem Rehabilitacyjnym"|"2010-06-30"
"325938"|"staż cząstkowy lub część stażu cząstkowego z zakresu medycyny rodzinnej"|"2008-05-08"
"325941"|"Stomatologia zachowawcza z endodoncją, Chirurgia stomatologiczna,Periodontologia, Ortodoncja, Protetyka stomatologiczna, Stomatologia dziecięca"|"2002-01-01"
"325979"|"szkolenie podyplomowe w zakresie odstawowa opieka zdrowotna/medycyna rodzinna"|"2013-11-01"
"326061"|"1. Ortopedia i traumatologia narzadu ruchu - 6 miejsc specjalizacyjnych2. Rehabilitacja medyczna - 4 miejsca specjalizacyjne"|"2000-10-10"
"326276"|"Pediatria - specjalizacja"|"2003-05-20"
"326276"|"Neurologia dziecięca - specjalizacja"|"2003-05-09"
"326276"|"Otorynolaryngologia dziecięca - specjalizacja"|"2005-10-27"
"326276"|"Otorynolaryngologia dziecięca - staż kier."|"2005-10-27"
"326276"|"Alergologia - staż kier."|"2009-04-07"
"326276"|"Endokrynologia - staż kier."|"2003-02-24"
"326276"|"Kardiologia dziecięca - staż kier."|"2010-01-15"
"326276"|"Choroby płuc - staż kier."|"2003-04-11"
"326276"|"Diagnostyka laboratoryjna - staż kier."|"2003-04-01"
"326276"|"Chirurgia stomatologiczna - specjalizacja"|"2013-07-09"
"326276"|"Chirurgia stomatologiczna - staż kier."|"2013-07-09"
"326276"|"Protetyka stomatologiczna - specjalizacja"|"2013-07-09"
"326276"|"Protetyka stomatologiczna - staż kier."|"2013-07-09"
"326276"|"Stomatologia zachowawcza z endodoncją - specjalizacja"|"2013-07-09"
"326276"|"Stomatologia zachowawcza z endodoncją - staż kier."|"2013-07-09"
"326276"|"Periodontologia - specjalizacja"|"2013-07-09"
"326276"|"Periodontologia - staż kier."|"2013-07-09"
"326276"|"Stomatologia dziecięca - staż kier."|"2013-07-09"
"326276"|"Ortodoncja - staż kier."|"2013-07-09"
"326276"|"Alergologia - specjalizacja"|"2013-11-05"
"326276"|"Diabetologia - staż kier."|"2012-07-03"
"326276"|"Choroby płuc dzieci - specjalizacja"|"2014-08-25"
