"ID Księgi"|"Wynik"|"Data przeprowadzenia"
"325103"|"kontrola PS-ZP.9612.11.2013 wynik: pozytywna z nieprawidłowościami."|"2013-02-15"
"325141"|"Kontrola problemowa PS-ZPSM.9612.11.2016.UK - pozytywna z nieprawidłowościami"|"2016-01-28"
"325145"|"Wynik kontroli PS-ZP.9612.89.2012 : pozytywna"|"2012-11-09"
"325145"|"Wynik kontroli PS-ZP.9612.89.2012 : pozytywna"|"2012-11-21"
"325146"|"Kontrola PS-ZP.9612.8.2014 w zakresie realizacji świadczeń zdrowotnych ze szczególnym uwzględnieniem profilaktycznej opieki nad matką i dzieckiem; ocena pozytywna z uchybieniami."|"2014-03-20"
"325181"|"PS-ZPSM.9612.33.2015- pozytywna z nieprawidłowościami."|"2015-09-25"
"325182"|"Kontrola PS-ZP.9612.32.2014 - pozytywna z nieprawidłowościami."|"2014-04-23"
"325200"|"Kontrola PS-ZP.9612.62.2013 w zakresie realizacji świadczeń zdrowotnych ze szczególnym uwzględnieniem opieki nad matką i dzieckiem w oddziale ginekologiczno-położniczym i neonatologicznym; ocena pozytywna z nieprawidłowościami."|"2013-05-29"
"325200"|"Kontrola PS-ZP.9612.62.2013 w zakresie realizacji świadczeń zdrowotnych ze szczególnym uwzględnieniem opieki nad matką i dzieckiem; ocena pozytywna z nieprawidłowościami."|"2013-05-29"
"325203"|"Kontrola PS-ZP.9612.6.2013 wynik : pozytywna z nieprawidłowościami"|"2013-02-07"
"325206"|"Kontrola problemowa PS-ZP.9612.103.2013 - pozytywna z nieprawidłowościami"|"2013-08-14"
"325219"|"Kontrola PS-ZP.9612.15.2013  - negatywna"|"2013-02-26"
"325219"|"PS-ZP.9612.90.2014 kontrola w zakresie realizacji świadczeń zdrowotnych, ze szczególnym uwzględnieniem profilaktycznej opieki nad matką i dzieckiem; pozytywna"|"2014-11-19"
"325246"|"PS-ZPSM.9612.29.2015 - pozytywna z nieprawidłowościami"|"2015-06-08"
"325278"|"Kontrola problemowa PS-ZP.9612.17.2013 - pozytywna z nieprawidłowościami."|"2013-02-18"
"325284"|"Kontrola problemowa PS-ZPSM.9612.2.2015.UK - pozytywna z nieprawidłowościami"|"2015-06-29"
"325308"|"Kontrola PS-ZP.9612.14.2013 w zakresie realizacji świadczeń zdrowotnych ze szczególnym uwzględnieniem profilaktycznej opieki nad matką i dzieckiem; ocena negatywna"|"2013-02-21"
"325308"|"PS-ZP.9612.65.2014-pozytywna z nieprawidłowościami."|"2014-08-08"
"325308"|"PS-ZP.9612.81.2014 kontrola w zakresie realizacji świadczeń zdrowotnych, ze szczególnym uwzględnieniem profilaktycznej opieki nad matką i dzieckiem; pozytywna"|"2014-10-20"
"325309"|"Kontrola problemowa PS-ZPSM.9612.15.2015.UK - pozytywna z nieprawidłowościami"|"2015-07-24"
"325317"|"Kontrola znak: PS-Z.9612.9.2012 - pozytywna"|"2012-04-02"
"325323"|"Kontrola problemowa PS-ZPSM.9612.51.2015.UK - pozytywna."|"2015-12-16"
"325326"|"PS-ZP.9612.58.2014 kontrola w zakresie realizacji świadczeń zdrowotnych, ze szczególnym uwzględnieniem opieki nad matką i dzieckiem w oddziale ginekologiczno-położniczym i neonatologicznym; negatywna"|"2014-07-17"
"325334"|"PS-ZP.9612.122.2013 kontrola w zakresie realizacji świadczeń zdrowotnych ze szczególnym uwzględnieniem opieki nad matką i dzieckiem w oddziale ginekologiczno-położniczym i neonatologicznym:pozytywna z nieprawidłowościami"|"2013-10-15"
"325341"|"Kontrola znak: PS-Z.9612.21.2012 - pozytywna z uchybieniami."|"2012-02-16"
"325362"|"Kontrola PS-ZP.9610.399.2013 pozytywna"|"2013-03-13"
"325380"|"Kontrola PS-ZP.9612.49.2013 pozytywna z nieprawidłowościami."|"2013-04-26"
"325389"|"Kontrola: PS-ZP.9612.21.2012 wynik : pozytywna."|"2012-05-10"
"325399"|"Kontrola PS-ZP.9612.63.2012: pozytywna"|"2012-08-09"
