"Id adresu"|"Numer ksiegi"|"Typ praktyki"|"Id wspólnika"|"Nazwa zakladu leczniczego"|"Regon"|"Rodzaj adresu"|"Adres dokumentacji medycznej jak wezwanie?"|"Kod praktyki"|"Opis praktyki"|"Teryt"|"Teryt - opis"|"Ulica"|"Budynek"|"Lokal"|"Kod pocztowy"|"Poczta"|"Miejscowosc"
"3668033"|"000000031128"|"G"|"1291328"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2013011"|"Wysokie Mazowieckie - gmina miejska"|"Szpitalna"|"2"|"4"|"18-200"|""|"Wysokie Mazowieckie"
"3668034"|"000000031129"|"G"|"1291329"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2013011"|"Wysokie Mazowieckie - gmina miejska"|"Szpitalna"|"2"|"4"|"18-200"|""|"Wysokie Mazowieckie"
"3668053"|"000000031135"|"G"|"1291343"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2061011"|"Białystok - gmina miejska"|"Bohaterów Monte Cassino"|"13 A"|"3"|"15-873"|""|"Białystok"
"3668056"|"000000031136"|"G"|"1291345"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2061011"|"Białystok - gmina miejska"|"Bohaterów Monte Cassino"|"13 A"|"3"|"15-873"|""|"Białystok"
"3668213"|"000000031179"|"G"|"1291432"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka lekarska"|"2061011"|"Białystok - gmina miejska"|"Pietkiewicza"|"11"|"43"|"15-689"|""|"Białystok"
"3668214"|"000000031179"|"G"|"1291433"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka lekarska"|"2061011"|"Białystok - gmina miejska"|"Pietkiewicza"|"11"|"43"|"15-689"|""|"Białystok"
"3668325"|"000000031213"|"G"|"1291502"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2008064"|"Mońki - miasto"|"Niepodległości"|"11b"|""|"19-100"|""|"Mońki"
"3668327"|"000000031214"|"G"|"1291504"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2008064"|"Mońki - miasto"|"Al. Niepodległości"|"11 b"|""|"19-100"|""|"Mońki"
"3668399"|"000000031238"|"G"|"1291555"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2061011"|"Białystok - gmina miejska"|"Mickiewicza Adama"|"14"|"25"|"15-222"|""|"Białystok"
"3668400"|"000000031239"|"G"|"1291556"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2061"|""|"Mickiewicza Adama"|"14"|"26,26A"|"15-222"|""|"Białystok"
"3668449"|"000000031259"|"G"|"1291597"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2061"|""|"Wczasowa"|"43"|""|"15-505"|""|"Białystok"
"3668452"|"000000031260"|"G"|"1291600"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2061"|""|"Wczasowa"|"43"|""|"15-505"|""|"Białystok"
"3668881"|"000000031384"|"G"|"1291852"|""|""|"Adres udzielania świadczeń"|"NIE"|"97"|"97 - grupowa praktyka lekarska"|"2061"|""|"Płaska"|"4/3"|""|"15-723"|""|"Białystok"
