"Id adresu"|"Numer ksiegi"|"Typ praktyki"|"Id wspólnika"|"Nazwa zakladu leczniczego"|"Regon"|"Rodzaj adresu"|"Adres dokumentacji medycznej jak wezwanie?"|"Kod praktyki"|"Opis praktyki"|"Teryt"|"Teryt - opis"|"Ulica"|"Budynek"|"Lokal"|"Kod pocztowy"|"Poczta"|"Miejscowosc"
"3661402"|"000000026826"|"G"|"1286754"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3062011"|"Konin - gmina miejska"|"11 Listopada"|"9"|"7"|"62-510"|""|"Konin"
"3661403"|"000000026826"|"G"|"1286755"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3062011"|"Konin - gmina miejska"|"11 Listopada"|"9"|"7"|"62-510"|""|"Konin"
"3661404"|"000000026826"|"G"|"1286756"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3062011"|"Konin - gmina miejska"|"11 Listopada"|"9"|"7"|"62-510"|""|"Konin"
"3661405"|"000000026826"|"G"|"1286757"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3062011"|"Konin - gmina miejska"|"11 Listopada"|"9"|"7"|"62-510"|""|"Konin"
"3662630"|"000000027353"|"G"|"1287610"|""|""|"Adres przechowywania dokumentacji"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3020064"|"Pleszew - miasto"|"Plac Wolności im.Jana Pawła II"|"4"|"2"|"63-300"|""|"Pleszew"
"3662630"|"000000027353"|"G"|"1287610"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3020064"|"Pleszew - miasto"|"Targowa"|"1"|""|"63-300"|""|"Pleszew"
"3662631"|"000000027353"|"G"|"1287611"|""|""|"Adres przechowywania dokumentacji"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3020065"|"Pleszew - obszar wiejski"|""|"4"|""|"63-300"|""|"Taczanów Pierwszy"
"3662631"|"000000027353"|"G"|"1287611"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3020064"|"Pleszew - miasto"|"Targowa"|"1"|""|"63-300"|""|"Pleszew"
"3662632"|"000000027353"|"G"|"1287612"|""|""|"Adres przechowywania dokumentacji"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3020064"|"Pleszew - miasto"|"Krzywoustego"|"11"|"21"|"63-300"|""|"Pleszew"
"3662632"|"000000027353"|"G"|"1287612"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3020064"|"Pleszew - miasto"|"Targowa"|"1"|""|"63-300"|""|"Pleszew"
"3662633"|"000000027353"|"G"|"1287613"|""|""|"Adres przechowywania dokumentacji"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3020064"|"Pleszew - miasto"|"Konopnickeij"|"1"|""|"63-300"|""|"Pleszew"
"3662633"|"000000027353"|"G"|"1287613"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3020064"|"Pleszew - miasto"|"Targowa"|"1"|""|"63-300"|""|"Pleszew"
"3662634"|"000000027353"|"G"|"1287614"|""|""|"Adres przechowywania dokumentacji"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3020065"|"Pleszew - obszar wiejski"|""|"19"|""|"63-300"|""|"Grodzisko"
"3662634"|"000000027353"|"G"|"1287614"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"3020064"|"Pleszew - miasto"|"Targowa"|"1"|""|"63-300"|""|"Pleszew"
"3665044"|"000000028318"|"G"|"1289275"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1217011"|"Zakopane - gmina miejska"|"Nowotarska"|"19"|"2"|"34-500"|""|"Zakopane"
"3665045"|"000000028318"|"G"|"1289276"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1217011"|"Zakopane - gmina miejska"|"Nowotarska"|"19"|"2"|"34-500"|""|"Zakopane"
"3665046"|"000000028318"|"G"|"1289277"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1217011"|"Zakopane - gmina miejska"|"Nowotarska"|"19"|"2"|"34-500"|""|"Zakopane"
"3665047"|"000000028318"|"G"|"1289278"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1217011"|"Zakopane - gmina miejska"|"Nowotarska"|"19"|"2"|"34-500"|""|"Zakopane"
"3665048"|"000000028318"|"G"|"1289279"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1217011"|"Zakopane - gmina miejska"|"Nowotarska"|"19"|"2"|"34-500"|""|"Zakopane"
"3665049"|"000000028318"|"G"|"1289280"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1217011"|"Zakopane - gmina miejska"|"Nowotarska"|"19"|"2"|"34-500"|""|"Zakopane"
"3665050"|"000000028318"|"G"|"1289281"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1217011"|"Zakopane - gmina miejska"|"Nowotarska"|"19"|"2"|"34-500"|""|"Zakopane"
"3665051"|"000000028318"|"G"|"1289282"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1217011"|"Zakopane - gmina miejska"|"Nowotarska"|"19"|"2"|"34-500"|""|"Zakopane"
"3665886"|"000000028630"|"G"|"1289866"|""|""|"Adres przechowywania dokumentacji"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"2417062"|"Lipowa - gmina wiejska"|""|"555"|""|"34-324"|""|"Lipowa"
"3665886"|"000000028630"|"G"|"1289866"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"2417011"|"Żywiec - gmina miejska"|"ks. Prałata Słonki"|"24"|""|"34-300"|""|"Żywiec"
"3665887"|"000000028630"|"G"|"1289867"|""|""|"Adres przechowywania dokumentacji"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"2417011"|"Żywiec - gmina miejska"|"Długa"|"20"|""|"34-300"|""|"Żywiec"
"3665887"|"000000028630"|"G"|"1289867"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"2417011"|"Żywiec - gmina miejska"|"ks. Prałata Słonki"|"24"|""|"34-300"|""|"Żywiec"
"3665888"|"000000028630"|"G"|"1289868"|""|""|"Adres przechowywania dokumentacji"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"2417011"|"Żywiec - gmina miejska"|"Zgoda"|"18"|""|"34-300"|""|"Żywiec"
"3665888"|"000000028630"|"G"|"1289868"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"2417011"|"Żywiec - gmina miejska"|"ks. Prałata Słonki"|"24"|""|"34-300"|""|"Żywiec"
"3665889"|"000000028631"|"G"|"1289869"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1218014"|"Andrychów - miasto"|"Juliusza Słowackiego"|"4B"|""|"34-120"|""|"Andrychów"
"3665890"|"000000028631"|"G"|"1289870"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1218014"|"Andrychów - miasto"|"Juliusza Słowackiego"|"4B"|""|"34-120"|""|"Andrychów"
"3665891"|"000000028631"|"G"|"1289871"|""|""|"Adres udzielania świadczeń"|"NIE"|"98"|"97 (98) - indywidualna praktyka pielęgniarska"|"1218014"|"Andrychów - miasto"|"Juliusza Słowackiego"|"4B"|""|"34-120"|""|"Andrychów"
